"copy_id","severity","route","surface","state","viewport","source_path","line","exact_copy","speaker","authority_class","copy_role","anti_pattern","repetition_key","occurrence_count","issue","user_consequence","disposition","replacement_copy","acceptance_test","evidence_status"
"CP001","Medium","Global","Brand lockup","Rotating","All","src/ui/components/BrandLockup.tsx","","Ctrl + Alt + Baseline","Control Atlas","Product interpretation","Brand slogan","Decorative metaphor","ctrl-alt-rotator","multiple","Rotating technical words consume attention and imply product outcomes.","Distracts from task and can imply applicability.","Delete","","No rotating Ctrl+Alt slogan appears in application metadata or UI.","Live+Code-derived"
"CP002","Medium","Global","Application metadata","Default","All","index.html","","Control Atlas | Ctrl+Alt+Comply","Control Atlas","Product interpretation","Application name","Compliance theater","ctrl-alt-comply","1","Product name implies compliance as an outcome.","Bookmark and assistive-tech labels overstate product role.","Replace","Control Atlas","Application name and document titles use the canonical product identity only.","Live"
"CP003","Pass","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","Control Atlas","Control Atlas","Navigation","Page title","None","canonical-product-name","global","Canonical product identity.","None.","Keep","Control Atlas","Home H1 and application identity agree.","Live"
"CP004","Low","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","Public reference for federal cyber requirements. Find published controls, source material, and starter documents.","Control Atlas","Product interpretation","Lede","Generic marketing","public-reference","1","Accurate but broad; it does not state the immediate action.","Users still must choose among several equal entrances.","Replace","Search published controls, frameworks, mappings, sources, and practitioner resources.","The Home lede names searchable objects and Search follows immediately.","Live"
"CP005","Medium","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","Choose a starting point","Control Atlas","Navigation note","Section label","Vague action","choose-start","multiple","Introduces three equal choices instead of one primary action.","Adds decision cost before Search.","Delete","","Home presents Search first and labels secondary entrances by destination.","Live"
"CP006","Medium","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Trace a published relationship","Control Atlas","Navigation note","Heading","Abstract opening","trace-relationship","1","Relationship tracing is not the clearest first job for most visitors.","Users cannot predict whether this opens structure or mappings.","Replace","Open the Atlas","The action opens Explore with Path, Map, and List over a declared scope.","Live"
"CP007","Low","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Start with a framework or process, then open the published records and relationships that are relevant to your question.","Control Atlas","Navigation note","Helper","Wordy","start-with","multiple","Long helper repeats the destination's purpose.","Uses valuable first-screen space.","Replace","Browse a framework from overview to record.","Card helper fits one line at desktop width and names the outcome.","Live"
"CP008","High","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Follow the RMF process","Control Atlas","Navigation note","Action","Presumptive goal","rmf-default","multiple","Elevates one lifecycle lens to a default Home entrance.","Makes RMF look like the product's canonical worldview.","Move","Browse by RMF step","RMF is an optional Explore lens, not a primary Home action.","Live"
"CP009","High","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Choose a lifecycle step, then see its published results","Control Atlas","Navigation note","Helper","Unsupported interpretation","published-results","1","RMF steps do not simply produce a universal set of published results.","Can imply process authority and deterministic outcomes.","Replace","Filter published records by an RMF step.","Copy labels the behavior as a lens/filter.","Live"
"CP010","High","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Start with my situation","Control Atlas","Product interpretation","Action","Presumptive goal","start-situation","1","Questionnaire answers do not affect the result.","Creates a false personalized recommendation affordance.","Replace","Browse source starting points","The action opens an honest source navigator with no personalization claim.","Live+Code-derived"
"CP011","High","#/","Home card","Default","All","src/ui/pages/HomePage.tsx","","Answer three questions for a practical starting point","Control Atlas","Product interpretation","Helper","Unsupported recommendation","practical-start","multiple","Answers do not change the source list.","Users may treat a fixed list as tailored applicability guidance.","Replace","Choose a topic to see relevant official sources and stated selection rules.","Every displayed source explains the rule that included it.","Live+Code-derived"
"CP012","Pass","#/","Home search","Default","All","src/ui/pages/HomePage.tsx","","Search controls, baselines, CCIs, STIGs, and terms","System","System status","Field label","None","search-prompt","1","Useful object examples.","None.","Keep","Search identifiers, titles, topics, sources, and resources","Prompt reflects universal destination types, not only federal record types.","Live"
"CP013","Pass","#/","Home search","Default","All","src/ui/pages/HomePage.tsx","","Search","System","Navigation","Button","None","search-action","global","Concrete action.","None.","Keep","Search","Button opens or submits canonical Search state.","Live"
"CP014","Medium","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","More ways to explore","Control Atlas","Navigation note","Section label","Destination identity mismatch","more-explore","1","Uses Explore as a generic verb above several destinations including Explore.","Weakens canonical destination meaning.","Replace","Browse by destination","Each link uses a canonical destination name and short purpose.","Live"
"CP015","Low","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","Public reference data, sourced directly from NIST, DISA, and MITRE. No login, no uploads.","Control Atlas","Product boundary","Trust note","Generic marketing","public-reference","1","Useful boundary, but publisher list is incomplete and repeated elsewhere.","Can imply all content is directly from only three publishers.","Replace","Public, no-account workbench. Official records identify their publisher and source.","Trust note is accurate for records and Resources.","Live"
"CP016","Low","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","About this tool","System","Navigation","Button","Vague action","about-this","1","Longer than the canonical destination.","Minor inconsistency.","Replace","About","Button, URL, title, and nav label agree.","Live"
"CP017","Low","#/","Home","Default","All","src/ui/pages/HomePage.tsx","","Review sources","System","Navigation","Button","Vague action","review-sources","1","Canonical destination is Sources.","Minor identity drift.","Replace","Sources","Button, URL, title, and selected state agree.","Live"
"CP018","Medium","Global","Footer","Default","All","src/ui/components/SiteFooter.tsx","","Control Atlas is an open-source reference tool. It does not replace official guidance. Not an official government system.","Control Atlas","Product boundary","Disclaimer","Disclaimer repetition","not-official","multiple","Boundary is repeated verbatim or near-verbatim across surfaces.","Consumes space and becomes wallpaper.","Consolidate","Open-source reference tool. Verify decisions against the cited official source.","One compact global boundary; route-specific warnings appear only where risk changes.","Live"
"CP019","High","#/search","Page context","Default","All","src/ui/pages/ExplorePage.tsx","","Explore","System","Navigation","Eyebrow","Destination identity mismatch","explore-search","1","Search route is visibly labeled Explore.","Users cannot form a stable destination model.","Replace","Search","Visible label, URL, title, selected nav, analytics, and context all say Search.","Live+Code-derived"
"CP020","Pass","#/search","Search heading","Default","All","src/ui/pages/ExplorePage.tsx","","Search everything in one place","Control Atlas","Navigation note","Heading","Slogan","one-place","1","Describes scope but reads as a tagline.","Adds little beyond destination identity.","Replace","Search Control Atlas","Heading and field immediately expose types and filters.","Live"
"CP021","Pass","#/search","Result feedback","Zero","All","src/ui/pages/ExplorePage.tsx","","No matching records found.","System","System status","Empty state","None","no-match","1","Honest eligibility result.","None.","Keep","No matches for '{query}'.","Message includes query and retains filters with recovery choices.","Live"
"CP022","Medium","#/search","Result feedback","Zero","All","src/ui/pages/ExplorePage.tsx","","Try a control ID like AC-2, a topic like encryption, or clear one of the filters.","System","Navigation note","Recovery","Wordy","try-search","1","Useful but examples and action can be more scannable.","Slight recovery friction.","Replace","Check the identifier, remove a filter, or search a broader term.","Each suggested action is an operable control.","Live"
"CP023","High","Global Search overlay","Resource result","Default","All","src/ui/components/SearchOverlay.tsx","","Community · {resourceLane}","System","System status","Result type","Internal key or enum","community-lane","dynamic","Every resource is labeled Community and raw resourceLane can leak.","Destination type and provenance are false or opaque.","Replace","Resource · {resolvedType}","Every result type is resolved from canonical vocabulary and matches its destination.","Code-derived"
"CP024","High","#/start","Result","Complete","All","src/ui/pages/StartHereResult.tsx","","Based on","Control Atlas","Product interpretation","Result basis","Unsupported interpretation","based-on","1","Answers do not affect the returned set.","Fixed content appears tailored.","Replace","Source starting points","No personalized-result label appears unless answers change eligibility under published rules.","Live+Code-derived"
"CP025","High","#/start","Result","Complete","All","src/ui/pages/StartHereResult.tsx","","These sources are a starting point, not an applicability determination.","Control Atlas","Product boundary","Warning","Disclaimer as mitigation","starting-not-determination","1","Caveat does not cure a false questionnaire affordance.","Users may still infer tailored applicability.","Replace","Control Atlas does not select an applicable framework or baseline. Each source below states why it is listed.","Every result exposes inclusion rule and no answer is solicited unless used.","Live+Code-derived"
"CP026","High","#/explore","Landing","Default","All","src/ui/pages/AtlasMapPage.tsx","","Explore","System","Navigation","Page title","False affordance","explore-map","1","Destination does not expose Map/List without a selected record.","Users cannot orient in the Atlas.","Keep","Explore","First screen includes Path, Map, and List modes over the same declared scope.","Live"
"CP027","Medium","#/explore","Path stage","Focused","All","src/ui/pages/AtlasMapPage.tsx","","Structure","Control Atlas","Navigation note","Stage","Source/product blur","purpose-stage","7","A relationship-purpose stage is presented as a path step.","Relationship lenses can be mistaken for hierarchy.","Replace","Where this sits","Only validated publisher-declared ancestry appears here.","Live"
"CP028","Medium","#/explore","Path stage","Focused","All","src/ui/pages/AtlasMapPage.tsx","","Applicability","Control Atlas","Navigation note","Stage","Structural conflation","purpose-stage","7","Applicability is placed in the same path sequence as structure.","Users may infer baseline parentage.","Replace","Applicability choices","Rendered as a separate filter/lens, never an ancestor.","Live"
"CP029","Medium","#/explore","Path stage","Focused","All","src/ui/pages/AtlasMapPage.tsx","","Implementation","Control Atlas","Navigation note","Stage","Structural conflation","purpose-stage","7","Implementation aids appear as a path stage.","Aids can be mistaken for structural descendants.","Replace","Implementation aids","Separate relationship group with authority and scope.","Live"
"CP030","Medium","#/explore","Map control","Focused","All","src/ui/pages/AtlasMapPage.tsx","","+2 more in List","System","Navigation","Action","None","more-in-list","1","Concrete parity cue.","None.","Keep","Show 2 more in List","Action label begins with a verb and preserves scope.","Live"
"CP031","High","#/catalog","Heading","Default","All","src/ui/pages/CatalogPage.tsx","","Official rules and frameworks","Control Atlas","Navigation note","Page heading","Oversimplification","catalog-heading","1","Catalog also contains catalogs, requirements, mappings, and published datasets.","Users cannot predict exhaustive scope.","Replace","Catalog","A compact lede and type filters define the exhaustive inventory.","Live"
"CP032","High","#/catalog","Landing","Default","All","src/ui/pages/CatalogPage.tsx","","Explore asks what you are working on and finds a relevant record.","Control Atlas","Product interpretation","Cross-link","False promise","explore-finds","1","Explore does not ask that question or reliably find a record.","Sends users into a path that does not match the promise.","Replace","Explore a selected framework by Path, Map, or List.","Destination copy matches implemented behavior.","Code-derived"
"CP033","High","#/catalog/nist-800-53","Catalog profile","Default","All","src/ui/lib/catalogProfiles.ts","","When to use it","Control Atlas","Product interpretation","Heading","Source/product blur","when-to-use","multiple","Unlabelled applicability interpretation sits beside official catalog metadata.","Can be mistaken for publisher advice.","Replace","Control Atlas navigation note","Text states it is browsing help and avoids applicability conclusions.","Live+Code-derived"
"CP034","Critical","#/record/csf-2/DE.AE-08","Record summary","Loaded","All","src/ui/pages/ObjectDetailPage.tsx","","Source excerpt from SP 800-53 Rev. 5","System","Official publisher","Attribution","Source/product blur","source-excerpt","dynamic","CSF 2.0 official text is attributed to SP 800-53.","Destroys trust and can cause incorrect citations.","Replace","Official source identity unavailable","Render exact catalog publication only after identity validation; otherwise fail closed.","Live+Code-derived"
"CP035","High","#/record/csf-2/DE.AE-08","Record title","Loaded","All","data/csf-subcategories.json","","DE.AE-08","Official publisher","Official publisher","Title","Missing explanation","identifier-only","multiple","Identifier is the only title; absence of a published descriptive title is not explained.","Record looks blank or malformed.","Replace","DE.AE-08","Display identifier as identifier and state that CSF publishes this subcategory without a separate title.","Live"
"CP036","Pass","#/record/csf-2/DE.AE-08","Record type","Loaded","All","src/ui/pages/ObjectDetailPage.tsx","","Requirement","System","System status","Type label","Oversimplification","requirement-type","multiple","CSF calls these subcategories; generic Requirement loses source precision.","Weakens official identity.","Replace","CSF subcategory","Record type follows publisher terminology with a human label.","Live"
"CP037","Pass","#/record/*","Summary heading","Loaded","All","src/ui/pages/ObjectDetailPage.tsx","","Official description","System","Official publisher","Heading","None","official-description","global","Clear source-first label when attribution is correct.","None.","Keep","Official text","Heading is paired with exact publication and citation.","Live"
"CP038","Medium","#/record/nist-800-53/AC-2","Connections notice","Many connections","All","src/ui/pages/ObjectDetailPage.tsx","","New here? Start with baselines or your primary source framework group — those links are usually the fastest path for authorization research.","Control Atlas","Navigation note","Guidance","Patronizing expertise label","new-here","1","Labels expertise, presumes authorization research, and offers unsupported priority.","Can steer applicability/authorization work.","Replace","Filter the 95 published connections by relationship type or source.","Guidance describes an available action and does not prioritize substantive decisions.","Live+Code-derived"
"CP039","Medium","#/record/*","Relationship card","No rationale","All","src/ui/components/RelationshipEvidenceCard.tsx","","No published rationale is available for this relationship.","System","System status","Absence statement","None","no-rationale","many","Honest absence but repeated on every row/card.","Creates a jargon wall and buries relationship labels.","Consolidate","No publisher rationale","Compact per-row label with one page-level explanation.","Live"
"CP040","Medium","#/record/*","Relationship card","Published","All","src/ui/lib/relationshipProvenance.ts","","Published federal source","System","System status","Provenance badge","Repetition","published-federal","many","Generic provenance badge repeats beside specific source identity.","Low information-to-chrome ratio.","Consolidate","Published by {publisher}","One compact provenance field identifies the actual publisher/source.","Live"
"CP041","Medium","#/record/*","Relationship card","Direct","All","src/ui/lib/relationshipConfidence.ts","","Direct match","System","System status","Confidence label","Unsupported confidence","direct-match","many","Direct is presented as confidence rather than derivation/authority.","Users may over-trust mapping applicability.","Replace","Directly stated in cited mapping","Confidence language appears only when the source supports it and limitations are visible.","Live"
"CP042","Medium","#/record/*","Relationship card","Derived","All","src/ui/lib/relationshipConfidence.ts","","Derived match","System","System status","Confidence label","Unsupported confidence","derived-match","many","Derived is vague and can be mistaken for high-confidence inference.","Users cannot assess how the link was produced.","Replace","Derived from source structure","Method, source, limitation, and validation need are shown.","Live"
"CP043","Medium","#/record/*","Section heading","Loaded","All","src/ui/pages/ObjectDetailPage.tsx","","Where it appears","System","Navigation","Heading","Vague label","where-appears","multiple","Often contains only a baseline absence message, not structural position.","Users cannot distinguish ancestry from applicability.","Replace","Baseline references","Structural position and applicability are separate sections.","Live"
"CP044","Pass","#/record/*","Baseline absence","No placement","All","src/ui/pages/ObjectDetailPage.tsx","","This item does not have a published baseline placement summary yet.","System","System status","Absence statement","Filler","no-baseline-summary","multiple","Honest but the word yet implies expected future content and adds a vague summary concept.","Feels unfinished.","Replace","No published baseline reference is available in the current sources.","Absence identifies scope and source boundary without promising future content.","Live"
"CP045","Low","#/record/*","Advanced section","Loaded","All","src/ui/pages/ObjectDetailPage.tsx","","Advanced details","System","Navigation","Disclosure label","None","advanced-details","global","Appropriate progressive disclosure.","None.","Keep","Data and provenance","Label describes contents more precisely.","Live"
