"surface_id","final_status","current_disposition","local_evidence","external_evidence"
"S001","Pass","Corrected","Home has Search as its sole dominant action and exactly three secondary entrances; rotating slogan remains a secondary brand flourish.",""
"S002","Pass","Corrected","375x812 responsive workflow keeps Search and the rotating slogan visible with no horizontal overflow.",""
"S003","Pass","Corrected","Start Here is a transparent source navigator; no questionnaire or personalized result remains.",""
"S004","Pass","Retired","Questionnaire-result state is retired and invalid legacy state fails closed to canonical recovery.",""
"S005","Pass","Corrected","Search owns one canonical route identity across URL, title, navigation, context, analytics, and recovery.",""
"S006","Pass","Verified","Exact unique AC-2 search opens the exact SP 800-53 record.",""
"S007","Pass","Verified","Ambiguous topic text remains on Search with eligible results and visible match evidence.",""
"S008","Pass","Verified","No-match search remains an honest zero with recovery actions.",""
"S009","Pass","Consolidated","Global Search overlay and Resources use the shared MiniSearch eligibility and result contract.",""
"S010","Pass","Corrected","Explore landing explains publisher-declared Path, Map, and List scope without implying a baseline/framework tree.",""
"S011","Pass","Corrected","Explore Path uses validated publisher-declared ancestry only.",""
"S012","Pass","Corrected","Explore Map uses the shared RelationshipGraph/ELK owner and the same published edge scope as Path and List.",""
"S013","Pass","Verified","Explore List exposes the complete shared scope and reconciled counts.",""
"S014","Pass","Verified","768x1024 Explore Map retains controls and has no page-level horizontal overflow.",""
"S015","Pass","Corrected","Catalog exposes the complete eligible inventory with query model and explicit pagination.",""
"S016","Pass","Verified","375x812 Catalog remains browsable with filters and no horizontal overflow.",""
"S017","Pass","Corrected","Catalog detail exposes exact publication identity and the full paginated record inventory.",""
"S018","Pass","Corrected","Catalog copy describes published contents and never determines applicability.",""
"S019","Pass","Verified","Record identity, title, official text, publication source, and ingestion provenance are separated and visible.",""
"S020","Pass","Consolidated","Record relationships use the shared RelationshipGraph and accessible table owner.",""
"S021","Pass","Corrected","Record product copy is speaker-owned and avoids unsupported practitioner interpretation.",""
"S022","Pass","Corrected","CSF records resolve exact NIST CSF publication identity; fuzzy ingestion-source attribution is impossible.",""
"S023","Pass","Corrected","CSF records display publisher-provided titles with exact catalog identity.",""
"S024","Pass","Verified","CSF mobile record loads deterministically and retains source identity.",""
"S025","Pass","Corrected","Compare exposes five distinct workbenches and the required inputs for each mode.",""
"S026","Pass","Corrected","Relationship comparison advances only after explicit source and target selection and preserves URL state.",""
"S027","Pass","Verified","Configured Compare state round-trips through refresh, history, and copied links.",""
"S028","Pass","Corrected","Learn contains six cited explanatory topics with explicit Control Atlas/source boundaries.",""
"S029","Pass","Corrected","Learn mobile is substantive rather than an empty state and has no overflow.",""
"S030","Pass","Corrected","Build opens with equal Tasks, Starter documents, and Resources lanes.",""
"S031","Pass","Corrected","Build task and document configuration round-trip in validated URL state.",""
"S032","Pass","Corrected","Missing/invalid required inputs fail closed; retry, preview, and download share one validated snapshot.",""
"S033","Pass","Corrected","Resources is a Home entrance and an equal Build lane.",""
"S034","Pass","Corrected","Resources is a directory of external tools, templates, data, training, and communities; editorial collections are removed.",""
"S035","Pass","Corrected","Resources query and facet state round-trip through URL, refresh, and history.",""
"S036","Pass","Corrected","Resources loading and failure copy uses current destination identity and exposes recovery.",""
"S037","Pass","Corrected","Sources is a compact exact-identity provenance register.",""
"S038","Pass","Corrected","Sources query and facet state are validated and shareable.",""
"S039","Pass","Corrected","About states one canonical product identity and clear source/product boundaries.",""
"S040","Pass","Verified","Product boundary states that practitioners and responsible authorities determine applicability and outcomes.",""
"S041","Pass","Corrected","Retired aliases do not redirect into misleading destinations; they resolve through explicit not-found recovery.",""
"S042","Pass","Verified","Unknown routes retain canonical not-found recovery.",""
"S043","Pass","Consolidated","Global header consumes the canonical destination identity registry.",""
"S044","Pass","Verified","Mobile navigation exposes every canonical destination without hidden defining capabilities.",""
"S045","Pass","Consolidated","Footer owns the single persistent global trust disclaimer and secondary navigation.",""
"S046","Pass","Corrected","Canonical routes expose deterministic suspense/loading state without late footer-before-content shift.",""
"S047","Pass","Corrected","Search zero, Resources empty, and invalid-filter states provide specific recovery; Learn is no longer empty.",""
"S048","Pass","Verified","Invalid routes, parameters, mapping selections, identifiers, and document inputs fail closed with recovery.",""
"S049","Pass","Verified","Home, Search, Explore, Catalog, Record, Compare, Build, Resources, Learn, and Sources pass 375/768/1440 overflow checks.",""
"S050","Blocked","Verification pending","Viewport-equivalent reflow tests pass, but genuine browser 200 percent zoom could not be changed by the available in-app browser controls.","Manual actual-browser 200 percent zoom session."
"S051","Pass","Verified","Rotating slogan and other animated surfaces honor prefers-reduced-motion.",""
"S052","Pass","Verified","Keyboard-only canonical workflow tests retain visible focus with no trap.",""
"S053","Blocked","External verification pending","Automated route accessibility has zero serious or critical violations.","Signed human NVDA plus VoiceOver or TalkBack sessions."
"S054","Blocked","External verification pending","Responsive automation covers phone/tablet dimensions.","Physical phone and tablet checks."
"S055","Pass","Corrected","Canonical route, responsive, practitioner-workflow, and accessibility suites no longer depend on retired product routes.",""
"S056","Pass","Corrected","Speaker-aware extraction covers TS, TSX, MJS, JSON, generated UI, accessible names, and system feedback.","Human editorial sign-off remains a separate launch gate."
