"copy_id","final_status","current_disposition","current_evidence"
"CP001","Pass","Expanded","Owner-protected 27-word Ctrl+Alt brand flourish maps only to supported actions, remains secondary to Search, and stays reduced-motion aware."
"CP002","Pass","Corrected","Application metadata uses Control Atlas without a compliance-outcome claim."
"CP003","Pass","Corrected","Home, application metadata, repository surfaces, and social metadata use the owner-approved practitioner identity."
"CP004","Pass","Corrected","Home names the scattered federal cyber guidance problem and the concrete source, connection, and starter-tool jobs."
"CP005","Pass","Corrected","Home Search is the sole dominant action."
"CP006","Pass","Corrected","Home secondary entrances name concrete destinations and outcomes."
"CP007","Pass","Corrected","Home card copy is concise and destination-specific."
"CP008","Pass","Corrected","RMF is an optional Explore lens, not a presumptive Home goal."
"CP009","Pass","Corrected","Home never interprets user applicability."
"CP010","Pass","Corrected","Home never presumes a compliance program."
"CP011","Pass","Corrected","Home provides source starting points with an explicit inclusion rule, not recommendations."
"CP012","Pass","Keep","Home Search label remains specific."
"CP013","Pass","Keep","Home Search action remains specific."
"CP014","Pass","Corrected","Home destination labels match canonical route identity."
"CP015","Pass","Corrected","Home removes generic marketing."
"CP016","Pass","Corrected","Home entrances use concrete actions."
"CP017","Pass","Corrected","Home entrances use concrete outcomes."
"CP018","Pass","Consolidated","One short, direct footer trust boundary replaces repeated institutional disclaimers."
"CP019","Pass","Corrected","Search page context uses canonical Search identity."
"CP020","Pass","Corrected","Search heading names the retrieval job rather than using a slogan."
"CP021","Pass","Keep","Search result feedback remains factual."
"CP022","Pass","Corrected","Search feedback is concise and evidence-based."
"CP023","Pass","Corrected","Resource results expose human labels and match evidence, not internal enums."
"CP024","Pass","Retired","Personalized Start Here interpretations were removed."
"CP025","Pass","Retired","Start Here no longer relies on a disclaimer to mitigate unsupported interpretation."
"CP026","Pass","Corrected","Explore landing exposes real Path, Map, and List affordances."
"CP027","Pass","Corrected","Explore Path distinguishes publisher structure from Control Atlas presentation."
"CP028","Pass","Corrected","Baselines never appear as structural parents."
"CP029","Pass","Corrected","Mappings and applicability never appear as structural parents."
"CP030","Pass","Keep","Map controls remain concrete."
"CP031","Pass","Corrected","Catalog heading names the published-record inventory."
"CP032","Pass","Corrected","Catalog makes exhaustive eligibility and pagination explicit without promising universal completeness."
"CP033","Pass","Corrected","Catalog detail separates exact publication identity from product presentation."
"CP034","Pass","Corrected","CSF official text is attributed to NIST CSF, never the OSCAL ingestion channel."
"CP035","Pass","Corrected","CSF record titles come from exact publication data."
"CP036","Pass","Corrected","CSF record type remains precise."
"CP037","Pass","Keep","Official-text heading remains clear."
"CP038","Pass","Corrected","Record connection copy removes expertise labels."
"CP039","Pass","Consolidated","Relationship cards use the shared graph/table presentation."
"CP040","Pass","Consolidated","Repeated relationship-card scaffolding was removed."
"CP041","Pass","Corrected","Relationship copy states published or candidate evidence without unsupported confidence."
"CP042","Pass","Corrected","Candidate relationships expose their non-authoritative status."
"CP043","Pass","Corrected","Record section labels name the actual content."
"CP044","Pass","Corrected","Absent baselines remain absent without filler or defaults."
"CP045","Pass","Keep","Advanced official detail remains available after primary identity and text."
"CP046","Pass","Corrected","Compare chooser names five concrete workbenches."
"CP047","Pass","Keep","Compare mode labels remain specific."
"CP048","Pass","Corrected","Mapping workbench explains the required published mapping source."
"CP049","Pass","Retired","Patronizing Learn recommendation heading was removed."
"CP050","Pass","Corrected","Learn contains six cited explanations and no empty-product copy."
